Plant_ID,Species,Treatment,dry_nodule_biomass,Unexpected_biomass
146,Nan,200,2.688,
197,AcS,4,0.064,
53,Nan,156,1.884,
13,Suc,187,NA,Due to roots
111,Nan,131,1.48,
116,Nan,131,2.162,
9,Suc,187,6.522,
115,Nan,131,0.433,
72,AcS,2,0.797,
162,Bic,200,0.551,
99,AcS,131,0.337,
100,Acs,131,NA,Not found
40,Suc,156,0.883,
5,AcS,187,0.218,
12,Suc,187,0.733,
232,AcS,156,0.229,
51,Nan,156,0.402,
245,Nan,186,0.381,
243,Bic,186,0.23,
70,AcS,2,0.242,
191,Suc,4,1.948,
183,Nan,4,0.322,
20,Nan,187,1.139,
49,Nan,156,1.039,
235,AcS,186,0.647,
38,AcS,156,1.352,
68,AcS,2,0.253,
101,AcS,131,0.507,
169,Bic,4,2.237,
3,AcS,187,0.08,
15,Nan,187,2.623,
247,Nan,186,2.17,
119,Nan,131,1.256,
250,Nan,186,2.633,
75,Suc,2,NA,Due to roots
106,Suc,131,3.721,
147,Nan,200,0.446,
246,Nan,186,0.354,
139,Suc,200,1.738,
78,Suc,2,0.645,
259,Bic,186,4.875,
84,Bic,156,0.26,
249,Nan,186,2.213,
138,Suc,200,NA,Due to roots
23,Suc,186,2.158,
145,Nan,200,2.553,
33,Bic,187,2.79,
252,AcW,186,0.23,
173,Nan,4,1.043,
34,AcS,156,0.777,
194,AcS,4,0.818,
113,Nan,131,1.379,
127,Bic,131,0.024,
180,Nan,4,0.789,
8,Suc,187,0.139,
102,AcS,131,0.051,
126,Bic,131,1.389,
112,Nan,131,0.648,
125,Bic,131,1.545,
193,AcS,4,0.55,
234,AcS,186,0.463,
166,Bic,4,0.691,
167,Bic,4,1.884,
39,AcS,156,1.342,
242,Suc,186,1.349,
185,Suc,4,0.622,
260,Bic,186,7.626,
46,Suc,156,0.876,
184,Nan,4,1.551,
261,Bic,186,6.825,
109,Suc,131,3.911,
7,Suc,187,3.312,
103,AcS,131,1.192,
186,Suc,4,0.48,
117,Nan,131,2.752,
19,Nan,187,0.375,
44,Suc,156,0.213,
131,AcS,200,0.166,
195,AcS,4,0.14,
244,Nan,186,0.528,
142,Suc,200,5.693,
62,Bic,156,0.215,
94,Bic,2,0.101,
231,AcS,186,0.355,
181,Nan,187,2.748,
110,Suc,131,2.656,